KorEXO MEASUREMENT DATA FILE EXPORT,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
FILE CREATED:,11/21/22 22:46,,,,,,,,,,,,,
,,,,,,,,,,,,,,
10/31/22,10:30:25,0,Homer Deep,10.978,91,9.04,29.88,46.597,4.11,1.192,7.87,-72.2,7.183,5.8
11/5/22,0:45:00,0,Homer Deep,13.19,92.5,9.28,30.29,47.255,2.67,NaN,7.87,-72.1,6.654,4.76
,,,,,,,,,,,,,,
,,,MEAN VALUE:,10.273,94.6,9.42,25.89,40.562,5.18,NaN,NA,-71.2,8.384,5.51
,,,STANDARD DEVIATION:,3.983,2,0.63,9.14,14.311,5.34,NaN,0.09,4.4,4.404,0.52
,,,,,,,,,,,,,,
,,,SENSOR SERIAL NUMBER:,14M101857,16E104078,16E104078,16E102264,16E102264,16E102969,21B105229,15A101374,15A101374,16E102264,15A101012
Date (MM/DD/YYYY),Time (HH:mm:ss),Time (Fract. Sec),Site Name,Depth m,ODO % sat,ODO mg/L,Sal psu,SpCond mS/cm,Turbidity FNU,Wiper Position volt,pH,pH mV,Temp °C,Battery V
10/10/22,23:30:00,0,Homer Deep,0.081,99.2,9.19,0.1,0.211,1.48,NaN,7.63,-60.1,19.033,5.78
10/22/22,15:15:29,0,Homer Deep,11.704,95,9.23,28.95,45.148,3.38,1.197,7.89,-73.3,8.432,5.77
10/23/22,21:15:28,0,Homer Deep,9.497,94.2,9.45,27.94,43.843,5.15,1.191,7.87,-71.8,7.295,5.78
10/24/22,1:00:26,0,Homer Deep,13.899,92.1,8.89,29.21,45.488,3.22,1.186,7.89,-73.6,8.672,5.78
10/24/22,4:45:29,0,Homer Deep,10.751,94.3,9.25,28.74,44.887,3.3,1.189,7.9,-73.8,8.097,5.78
10/24/22,12:15:26,0,Homer Deep,13.764,94.5,9.21,28.77,44.898,3.34,1.189,7.91,-74.6,8.315,5.78
10/26/22,5:45:26,0,Homer Deep,11.21,92.8,8.99,29.28,45.608,2.64,1.196,7.91,-74.3,8.443,5.79
11/4/22,13:15:00,0,Homer Deep,12.932,93.3,9.46,30.27,47.293,4.04,NaN,7.87,-71.9,6.205,4.87
11/6/22,5:45:00,0,Homer Deep,8.617,96.1,11.12,29.77,47.684,20.04,NaN,7.8,-67.2,0.963,4.29
,,,,,,,,,,,,,,
,,,MEAN VALUE:,10.058,92.3,9.14,26.81,41.913,4.98,NaN,NA,-70.9,8.388,5.63
,,,STANDARD DEVIATION:,3.619,3.3,0.77,8.48,13.243,6.41,NaN,0.07,3.8,4.165,0.43
,,,,,,,,,,,,,,
,,,SENSOR SERIAL NUMBER:,14M101857,16E104078,16E104078,16E102264,16E102264,16E102969,21B105229,15A101374,15A101374,16E102264,15A101012
Date (MM/DD/YYYY),Time (HH:mm:ss),Time (Fract. Sec),Site Name,Depth m,ODO % sat,ODO mg/L,Sal psu,SpCond mS/cm,Turbidity FNU,Wiper Position volt,pH,pH mV,Temp °C,Battery V
10/10/22,23:45:00,0,Homer Deep,0.084,99.2,9.2,0.1,0.211,1.41,NaN,7.63,-60.2,19.013,5.76
10/13/22,23:00:00,0,Homer Deep,8.097,92.3,8.97,27.48,43.017,2.53,1.186,7.91,-74.3,8.854,5.68
10/18/22,12:15:00,0,Homer Deep,11.685,86.4,8.15,29.9,46.385,1.4,1.182,7.85,-71,9.454,5.75
10/20/22,23:30:00,0,Homer Deep,12.694,89.6,8.47,29.92,46.422,0.6,1.184,7.89,-73.5,9.35,5.76
10/21/22,17:30:00,0,Homer Deep,9.471,93.1,8.89,29.62,46.034,2.11,1.187,7.88,-73.1,8.979,5.77
10/22/22,23:15:27,0,Homer Deep,12.81,93.7,9.19,28.49,44.524,5.12,1.184,7.88,-72.5,8.169,5.78
